"Symbol","Entry Date","Entry Price","Exit Date","Exit Price","Volume","P/L","P/L %","Duration (Days)"
"MEMF","29/01/2026","11.607","12/02/2026","11.867","2495","648.7","2.24%","14"
"OASI","02/02/2026","3.954","07/02/2026","4.048","6375","640.655","2.54%","5"
"LUXR","30/01/2026","2.036","06/02/2026","2.191","29400","3542.7","5.92%","7"
"DLTA","08/11/2025","64.19","06/02/2026","73.903","800","5815.6","11.32%","90"
"SINA","29/10/2025","96.326","27/01/2026","91.486","770","-3726.8","-5.02%","90"
"PYRA","23/01/2026","52.13","25/01/2026","49.812","1050","-2347.275","-4.29%","2"
"SPHX","14/11/2025","8.584","29/12/2025","7.915","7990","-4951.63","-7.22%","45"
"SPHX","01/11/2025","8.586","16/12/2025","8.438","2360","-296.18","-1.46%","45"
"OASI","09/11/2025","3.62","09/12/2025","3.223","18805","-7465.585","-10.97%","30"
"PYRA","01/10/2025","45.972","15/10/2025","51.112","2155","11076.7","11.18%","14"
"SPHX","29/08/2025","7.381","13/10/2025","7.814","2130","922.29","5.87%","45"
"DLTA","16/08/2025","65.101","30/09/2025","65.494","1070","420.51","0.60%","45"
"OASI","27/08/2025","3.509","28/08/2025","3.713","23930","3912.555","4.66%","1"
"SPHX","21/08/2025","7.615","22/08/2025","7.722","8995","962.465","1.41%","1"
"LOTS","25/06/2025","24.342","09/08/2025","24.468","3090","389.34","0.52%","45"
"KRNK","28/07/2025","13.584","29/07/2025","11.547","5055","-8284.61","-12.06%","1"
"KRNK","08/07/2025","13.432","29/07/2025","11.873","4955","-8135.695","-12.22%","21"
"MEMF","30/06/2025","10.682","21/07/2025","10.593","8970","-542.685","-0.57%","21"
"SINA","30/06/2025","104.162","10/07/2025","110.011","915","3565.05","3.74%","10"
"MEMF","13/05/2025","11.246","12/06/2025","12.817","7065","8645.205","10.88%","30"
"SPHX","08/04/2025","7.243","07/06/2025","6.623","3670","-2275.4","-8.56%","60"
"MEMF","03/06/2025","10.819","06/06/2025","11.06","5080","1224.28","2.23%","3"
"NILE","20/05/2025","14.832","22/05/2025","15.29","5855","2681.59","3.09%","2"
"LOTS","05/05/2025","25.441","19/05/2025","27.732","1600","3665.6","9.01%","14"
"DLTA","11/05/2025","68.231","16/05/2025","74.48","500","2640.885","7.74%","5"
"LUXR","09/05/2025","1.493","11/05/2025","1.561","35815","2560.755","4.79%","2"
"DLTA","19/04/2025","69.477","10/05/2025","75.103","1505","8784.38","8.40%","21"
"SPHX","11/04/2025","7.333","25/04/2025","8.437","10745","11862.48","15.06%","14"
"SINA","14/02/2025","100.181","31/03/2025","102.805","905","2374.72","2.62%","45"
"SINA","22/12/2024","91.624","21/01/2025","90.069","520","-633.1","-1.33%","30"
"LOTS","17/01/2025","26.171","18/01/2025","25.409","810","-533.79","-2.52%","1"
"LOTS","02/10/2024","23.559","31/12/2024","23.779","4430","912.58","0.87%","90"
"DLTA","21/12/2024","67.251","31/12/2024","72.607","1560","8611.98","8.21%","10"
"SPHX","15/11/2024","8.045","30/12/2024","9.039","7370","7075.2","11.93%","45"
"OASI","21/12/2024","3.824","26/12/2024","3.38","23090","-10452.03","-11.84%","5"
"SINA","25/10/2024","78.459","24/12/2024","71.298","805","-5991.405","-9.49%","60"
"LUXR","23/11/2024","1.551","24/11/2024","1.483","39070","-2122.94","-3.50%","1"
"MEMF","24/10/2024","9.993","23/11/2024","9.116","10865","-9528.605","-8.78%","30"
"LUXR","07/10/2024","1.576","21/11/2024","1.654","65575","5114.85","4.95%","45"
"DLTA","05/11/2024","61.975","10/11/2024","58.132","1075","-4131.225","-6.20%","5"
"DLTA","02/11/2024","61.004","03/11/2024","65.825","1165","5577.605","7.85%","1"
"LUXR","21/09/2024","1.58","26/09/2024","1.595","27485","398.535","0.92%","5"
