"Symbol","Exit date","Exit Price","Volume","P/L","P/L %"
"DLTA","30/03/2026","80.529","540","14385.6","49.43%"
"LOTS","22/03/2026","33.08","190","542.83","9.45%"
"PYRA","15/03/2026","62.529","240","1701.6","12.79%"
"PYRA","13/03/2026","58.731","240","790.08","5.94%"
"SPHX","02/03/2026","10.671","2580","3227.58","13.28%"
"SPHX","27/02/2026","10.614","2575","3074.55","12.68%"
"KRNK","26/02/2026","17.348","3210","1152.39","2.11%"
"NILE","24/02/2026","20.606","1110","-46.62","-0.20%"
"SPHX","13/02/2026","10.562","2575","2940.65","12.12%"
"MEMF","12/02/2026","11.867","2495","648.7","2.24%"
"OASI","07/02/2026","4.048","3190","299.86","2.38%"
"OASI","06/02/2026","4.061","3185","340.795","2.71%"
"LUXR","06/02/2026","2.191","14700","2278.5","7.61%"
"DLTA","06/02/2026","73.903","400","3885.2","15.13%"
"LUXR","01/02/2026","2.122","14700","1264.2","4.22%"
"SINA","27/01/2026","91.486","770","-3726.8","-5.02%"
"MEMF","27/01/2026","12.044","840","2667","35.80%"
"PYRA","25/01/2026","49.977","525","-1130.325","-4.13%"
"PYRA","25/01/2026","49.812","525","-1216.95","-4.45%"
"SINA","06/01/2026","96.984","600","15076.8","34.97%"
"SPHX","29/12/2025","7.915","2670","-1786.23","-7.79%"
"DLTA","28/12/2025","66.79","415","4202.29","17.87%"
"SPHX","27/12/2025","7.812","2660","-2053.52","-8.99%"
"SPHX","24/12/2025","9.492","3200","8508.8","38.91%"
"SPHX","16/12/2025","8.438","1180","-174.64","-1.72%"
"OASI","09/12/2025","3.223","18805","-7465.585","-10.97%"
"OASI","05/12/2025","3.736","9430","5507.12","18.53%"
"NILE","28/11/2025","20.016","555","3116.88","39.00%"
"SPHX","15/11/2025","8.166","2660","-1111.88","-4.87%"
"SPHX","15/11/2025","8.483","1180","-121.54","-1.20%"
"DLTA","09/11/2025","69.016","400","1930.4","7.52%"
"PYRA","15/10/2025","51.112","2155","11076.7","11.18%"
"SPHX","13/10/2025","7.814","2130","922.29","5.87%"
"DLTA","30/09/2025","65.494","1070","420.51","0.60%"
"OASI","28/08/2025","3.713","11965","2440.86","5.81%"
"OASI","27/08/2025","3.632","11965","1471.695","3.51%"
"SPHX","22/08/2025","7.722","8995","962.465","1.41%"
"LOTS","09/08/2025","24.468","3090","389.34","0.52%"
"KRNK","29/07/2025","12.344","2525","-3131","-9.13%"
"KRNK","29/07/2025","11.547","2530","-5153.61","-15.00%"
"KRNK","29/07/2025","11.873","2480","-3866.32","-11.61%"
"MEMF","21/07/2025","10.593","4485","-399.165","-0.83%"
"MEMF","15/07/2025","10.65","4485","-143.52","-0.30%"
"KRNK","11/07/2025","11.707","2475","-4269.375","-12.84%"
"SINA","10/07/2025","110.011","460","2690.54","5.62%"
"SINA","04/07/2025","106.084","455","874.51","1.85%"
"OASI","16/06/2025","3.762","4645","2675.52","18.08%"
"MEMF","12/06/2025","12.817","2355","3699.705","13.97%"
"OASI","09/06/2025","3.842","3730","2715.44","23.38%"
"SPHX","07/06/2025","6.623","3670","-2275.4","-8.56%"
"MEMF","06/06/2025","11.06","5080","1224.28","2.23%"
"MEMF","01/06/2025","12.731","2355","3497.175","13.20%"
"MEMF","26/05/2025","11.861","2355","1448.325","5.47%"
"LUXR","25/05/2025","1.559","38060","-3996.3","-6.31%"
"NILE","22/05/2025","15.29","5855","2681.59","3.09%"
"LOTS","19/05/2025","27.732","1600","3665.6","9.01%"
"DLTA","16/05/2025","74.48","170","1062.33","9.16%"
"DLTA","12/05/2025","73.006","165","787.875","7.00%"
"DLTA","11/05/2025","73.023","165","790.68","7.02%"
"LUXR","11/05/2025","1.561","17910","1217.88","4.55%"
"DLTA","10/05/2025","75.103","755","4247.63","8.10%"
"LUXR","09/05/2025","1.568","17905","1342.875","5.02%"
"SPHX","25/04/2025","8.437","10745","11862.48","15.06%"
"DLTA","21/04/2025","75.526","750","4536.75","8.71%"
"SINA","31/03/2025","102.805","905","2374.72","2.62%"
"SPHX","15/03/2025","7.483","7115","4560.715","9.37%"
"LOTS","11/03/2025","25.49","2185","11838.33","26.99%"
"OASI","12/02/2025","3.983","13655","10541.66","24.04%"
"SINA","21/01/2025","90.069","260","-404.3","-1.70%"
"LOTS","18/01/2025","25.409","405","-308.61","-2.91%"
"LOTS","17/01/2025","25.615","405","-225.18","-2.12%"
"SINA","07/01/2025","90.744","260","-228.8","-0.96%"
"LOTS","31/12/2024","23.779","2215","487.3","0.93%"
"DLTA","31/12/2024","72.607","780","4177.68","7.96%"
"SPHX","30/12/2024","9.039","3685","3662.89","12.36%"
"OASI","26/12/2024","3.38","7700","-3418.8","-11.61%"
"SINA","24/12/2024","71.298","405","-2900.205","-9.13%"
"OASI","22/12/2024","3.39","7695","-3339.63","-11.35%"
"LOTS","21/12/2024","23.751","2215","425.28","0.81%"
"OASI","21/12/2024","3.344","7695","-3693.6","-12.55%"
"DLTA","21/12/2024","72.936","780","4434.3","8.45%"
"SPHX","21/12/2024","8.971","3685","3412.31","11.51%"
"SINA","16/12/2024","70.731","400","-3091.2","-9.85%"
"LUXR","24/11/2024","1.489","13020","-807.24","-4.00%"
"LUXR","24/11/2024","1.483","13030","-886.04","-4.38%"
"LUXR","23/11/2024","1.518","13020","-429.66","-2.13%"
"MEMF","23/11/2024","9.116","10865","-9528.605","-8.78%"
"LUXR","21/11/2024","1.654","65575","5114.85","4.95%"
"DLTA","10/11/2024","58.132","1075","-4131.225","-6.20%"
"DLTA","03/11/2024","65.758","580","2757.32","7.79%"
"DLTA","03/11/2024","65.825","585","2820.285","7.90%"
"PYRA","27/10/2024","45.296","890","4007.67","11.04%"
"PYRA","05/10/2024","45.942","280","1714.16","15.37%"
"LUXR","26/09/2024","1.595","13745","206.175","0.95%"
"LUXR","25/09/2024","1.594","13740","192.36","0.89%"
